id,name,street_name,street_number,zip_code,long,lat
82,Dokumentationszentrum NS-Zwangsarbeit Berlin-Schöneweide,Britzer Str.,5,12439,13.518055599999999,52.4531944
83,Kunst-Werke Berlin - Institute for Contemporary Art,Auguststraße,69,10117,13.394972199999998,52.526805599999996
84,Künstlerhaus Bethanien (KHB),Kottbusser Str.,10,10999,13.4186389,52.49697220000001
85,Haus am Waldsee e.V.,Argentinische Allee,30,14163,13.2386389,52.44202779999999
86,Stiftung Zentral- und Landesbibliothek Berlin,Breite Straße,30-36,10178,13.4045,52.51525
87,Landesarchiv Berlin,Eichborndamm,115,13403,13.31675,52.5799444
88,Theater Thikwà,Fidicinstraße,40,10965,13.388527800000002,52.487222200000005
89,SheShePop,Mariannenpl.,2,10997,13.423444400000001,52.503666700000004
90,Zeitgenössische Oper Berlin,Schwedter Str.,269,,13.412027800000002,52.532638899999995
91,Theater auf der Zitadelle,Am Juliusturm,64,13599,13.212055599999998,52.5409444
92,Schlossplatztheater,Alt-Köpenick,31,12555,13.5743611,52.445055599999996
93,Theater o.N.,Kollwitzstraße,53,10405,13.416222199999998,52.535
94,andcompany & Co,Mariannenplatz,2,10997,13.424027800000003,52.50397220000001
95,Fliegendes Theater,Urbanstraße,100,10967,13.422055599999998,52.489861100000006
96,ATZE Musiktheater,Luxemburger Str.,20,13353,13.351555599999998,52.54327779999999
97,Das Weite Theater,Parkaue,23,10367,13.477444400000001,52.5169444
98,Das Helmi,Pappelallee,15,10437,13.414972199999998,52.5430833
99,Platypus Theater,Markgrafenstraße,87,10969,13.394722199999999,52.5033889
100,Lubricat,Adalbertstr.,4,10999,13.4189444,52.5
101,Gob Squad,Skalitzer Straße,59,10997,13.43625,52.49972220000001
102,English Theatre Berlin,Fidicinstraße,40,10965,13.3885,52.48725
103,aufBruch,Pappelallee,7,10437,13.4138889,52.542222200000005
104,Hans Wurst Nachfahren,Gleditschstraße,5,10781,13.3554167,52.4965
105,Novoflot,Wallstraße,32c,10179,13.4113889,52.5110556
106,Tanzcompanie Rubato,Karl-Kunger Str.,13,12435,13.447083300000001,52.4911667
107,cie toula limnaios,Am Friedrichshain,33,10407,13.425666699999999,52.528388899999996
108,Tanztage Berlin,Sophienstraße,18,10178,13.4016111,52.5258889
109,Ballhaus Ost,Pappelallee,15,10437,13.414944400000001,52.5430833
110,Theaterkapelle,Boxhagener Str.,99,10245,13.460777800000002,52.5123333
111,Heimathafen Neukölln,Karl-Marx-Straße,141,12043,13.439194400000002,52.476972200000006
112,Tanzfabrik Berlin e.V.,Uferstraße,23,13357,13.374944400000002,52.551777799999996
113,Dock 11,Kastanienallee,79,10435,13.408027800000003,52.536666700000005
114,Laborgras,Großbeerenstraße,56E,10965,13.4213889,52.496805599999995
115,ada Studio & Bühne,Uferstraße,8/23,13357,13.3744167,52.5518333
