id,name,street_name,street_number,zip_code,long,lat,opening_hours,is_building,feature_vector,source
6,Schaubühne am Lehniner Platz,Kurfürstendamm,153,10709,13.302833300000001,52.498694400000005,,t,,odb;osm:node(272406395)
11,Canstanza Macras,Klosterstraße,44,10179,13.411805599999997,52.517861100000005,,t,,odb
12,Nico and the Navigators,Husemannstr.,31,10435,13.417583300000002,52.53972220000001,,t,,odb
15,Sophiensæle,Sophienstraße,18,10178,13.4016111,52.5258611,,t,,odb;osm:node(229948256)
18,Vaganten Bühne Gemeinnützige,Kantstraße,12A,10623,13.328833300000001,52.50575,,t,,odb
20,Kleines Theater am Südwestkorso GmbH,Südwestkorso,65,12161,13.3223611,52.473305599999996,,t,,odb
24,Jüdisches Theater,Meinekestraße,24,10719,13.329305599999998,52.5021111,,t,,odb
25,Bühnen am Kürfürstendamm,Kurfürstendamm,206,10719,13.323638899999999,52.5019444,,t,,odb
31,Stiftung Berliner Philharmoniker,Herbert-von-Karajan-Straße,1,10785,13.369722199999998,52.5098056,,t,,odb
32,Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt,Gendarmenmarkt,,10117,13.391777800000002,52.5136389,,t,,odb
33,Rundfunk-Orchester und -Chöre GmbH,Charlottenstraße,56,10117,13.391083300000002,52.513361100000004,,t,,odb
37,literaturWERKstatt berlin,Knaackstraße,97,10435,13.414416699999999,52.5394444,,t,,odb
38,LesArt - Berliner Zentrum für Kinder- und Jugendliteratur,Weinmeisterstraße,5,10178,13.405083300000001,52.52525,,t,,odb
39,ConSense - Ges. zur Förderung von Kultur mbH (Kulturbrauerei),Schönhauser Allee,36,10435,13.413,52.5383056,,t,,odb
40,RambaZamba e.V.,Schönhauser Allee,36-39,10435,13.4135833,52.5399444,,t,,odb
41,ufa-fabrik e.V.,Viktoriastraße,10-18,12105,13.381833300000002,52.454583299999996,,t,,odb
43,Stiftung Berlinische Galerie,Alte Jakobstraße,124-128,10969,13.398810000000001,52.50408,,t,,odb
44,Stiftung Bröhan-Museum,Schloßstraße,1a,14059,13.29517,52.5189,,t,,odb
46,Stiftung Deutsches Technikmuseum Berlin,Trebbiner Str.,9,10963,13.37684,52.498630000000006,,t,,odb
49,Stiftung Domäne Dahlem,Königin-Luise-Straße,49,14195,13.28866,52.45842,,t,,odb
50,Jugend im Museum e.V.,Genthiner Str.,38,10785,13.358920000000001,52.50257,,t,,odb
53,Stiftung Georg-Kolbe-Museum,Sensburger Allee,25,14055,13.25489,52.51002,,t,,odb
